,neighborhood,neighborhood_ascii,lat,lng,city_name,city_id,state_name,state_id,source,timezone,zips,county_fips,county_name,id,length
1575,Government Center,Government Center,25.7762,-80.19677,Miami,1840015149,Florida,FL,polygon,America/New_York,33130 33128,12086,Miami-Dade,184001514911159,11
1567,Roads,Roads,25.75607,-80.20955,Miami,1840015149,Florida,FL,polygon,America/New_York,33145 33129,12086,Miami-Dade,184001514911151,11
1517,Edgewater,Edgewater,25.80107,-80.18932,Miami,1840015149,Florida,FL,polygon,America/New_York,33137 33132,12086,Miami-Dade,184001514911101,11
1562,Little River Central,Little River Central,25.84425,-80.19907,Miami,1840015149,Florida,FL,polygon,America/New_York,33150 33138,12086,Miami-Dade,184001514911146,11
1518,79Th Street,79Th Street,25.84839,-80.19495,Miami,1840015149,Florida,FL,polygon,America/New_York,33150 33138,12086,Miami-Dade,184001514911102,11
1519,Riverfront,Riverfront,25.77067,-80.19535,Miami,1840015149,Florida,FL,polygon,America/New_York,33131 33130,12086,Miami-Dade,184001514911103,11
1520,Silver Bluff,Silver Bluff,25.74654,-80.23089,Miami,1840015149,Florida,FL,polygon,America/New_York,33145 33133,12086,Miami-Dade,184001514911104,11
1528,Omni/Pac,Omni/Pac,25.78932,-80.1882,Miami,1840015149,Florida,FL,polygon,America/New_York,33139 33132,12086,Miami-Dade,184001514911112,11
1530,Midtown,Midtown,25.80801,-80.1934,Miami,1840015149,Florida,FL,polygon,America/New_York,33137 33127,12086,Miami-Dade,184001514911114,11
1539,Southeast Overtown,Southeast Overtown,25.7841,-80.19915,Miami,1840015149,Florida,FL,polygon,America/New_York,33101 33136,12086,Miami-Dade,184001514911123,11
1542,Auburndale,Auburndale,25.77199,-80.24727,Miami,1840015149,Florida,FL,polygon,America/New_York,33135 33125,12086,Miami-Dade,184001514911126,11
1545,Vizcaya,Vizcaya,25.74323,-80.21301,Miami,1840015149,Florida,FL,polygon,America/New_York,33133 33129,12086,Miami-Dade,184001514911129,11
1546,Brickell Village,Brickell Village,25.7655,-80.19351,Miami,1840015149,Florida,FL,polygon,America/New_York,33131 33130,12086,Miami-Dade,184001514911130,11
1549,Highland Park,Highland Park,25.7856,-80.21077,Miami,1840015149,Florida,FL,polygon,America/New_York,33136 33125,12086,Miami-Dade,184001514911133,11
1551,Watson Island,Watson Island,25.78453,-80.17498,Miami,1840015149,Florida,FL,polygon,America/New_York,33139 33132,12086,Miami-Dade,184001514911135,11
1552,Little River Industrial District,Little River Industrial District,25.83779,-80.19118,Miami,1840015149,Florida,FL,polygon,America/New_York,33138 33137,12086,Miami-Dade,184001514911136,11
1555,Shenandoah North,Shenandoah North,25.76174,-80.22633,Miami,1840015149,Florida,FL,polygon,America/New_York,33145 33135,12086,Miami-Dade,184001514911139,11
1559,Hadley Park,Hadley Park,25.81858,-80.21534,Miami,1840015149,Florida,FL,polygon,America/New_York,33142 33127,12086,Miami-Dade,184001514911143,11
1560,Parkwest,Parkwest,25.78266,-80.19301,Miami,1840015149,Florida,FL,polygon,America/New_York,33136 33132,12086,Miami-Dade,184001514911144,11
1616,Parkdale North,Parkdale North,25.76133,-80.24281,Miami,1840015149,Florida,FL,polygon,America/New_York,33145 33135,12086,Miami-Dade,184001514911200,11
