no,business-name,track-visit-website href,phones,locality,street-address,distance
15,Hotel Indigo,https://www.miamilakeshotelandgolf.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,(877) 887-9471,,,
16,Bookohotel,http://bookohotel.com/,(786) 581-4146,,,
17,Touristguidepanama.Com,,(786) 474-7993,,,
18,Marriott's,,(786) 250-3101,,,
19,Khr,,(305) 255-6463,"Miami, FL 33186",14471 SW 139th Avenue Cir W,1.8 miles
20,CruiseOne,http://www.7starcruises.com/,(408) 952-9148,"Miami, FL 33130",,
21,Global Hotel Co,,(305) 597-9851,"Miami, FL 33101",,
22,Palmer House Hotel,,(305) 673-6970,"Miami Beach, FL 33139",,
23,European Hotels,,(305) 535-9723,"Miami Beach, FL 33139",,
24,Venezia Hotel,,(305) 531-9288,"Miami Beach, FL 33139",,
25,South Florida Teen Travel,,(561) 703-1252,,,
26,Island Outpost Hotels,,(305) 604-5000,"Miami Beach, FL 33139",,
27,GetARoom,http://www.getaroom.com/,(800) 468-3578,,,
28,Hyatt Miami at the Blue,http://theblue.hyatt.com/hyatt/hotels/index.jsp?src=agn_mls_hyt_lk_localeze_miahb,,,,
29,Hyatt Hotels & Resorts,,(888) 362-0088,,,
30,adultvacationonly.net,,(305) 224-0940,,,
31,Four Points by Sheraton Miami Beach,http://www.starwoodhotels.com/fourpoints,(305) 531-7494,,,
32,Miami Airport Marriott,https://www.marriott.com/hotels/travel/miaap-miami-airport-marriott/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 649-5000,,,
33,Sofitel Hotel,http://larivieramiami.com/,(305) 264-4888,,,
34,La Quinta,http://www.laquinta.com/,(305) 278-0001,"Cutler Bay, FL 33189",10821 Caribbean Blvd,3.4 miles
35,Holiday Inn Express & Suites Miami-Kendall,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miafl&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIAFL&glat=MEDI,(800) 345-8082,"Miami, FL 33186",13475 SW 131st St,2.6 miles
36,Six Continents Hotels Inc,,(305) 964-4999,"Miami, FL 33186",13600 SW 139th Ct,2.4 miles
37,Candlewood Suites Miami Exec Airport - Kendall,https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=miaka&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cw-_-MIAKA&glat=MEDI,(800) 980-6467,"Miami, FL 33186",13600 SW 142nd Court Cir S,4.2 miles
38,The Village Chalet,http://www.cauleysquare.com/,(305) 258-8900,"Miami, FL 33170",12312 SW 224th St,3.6 miles
39,WoodSpring Suites Miami Southwest,https://www.woodspring.com/extended-stay-hotels/locations/florida/miami/woodspring-suites-miami-southwest,(786) 509-7373,"Palmetto Bay, FL 33157",16055 SW 89th Avenue Rd,4.6 miles
40,Holiday Inn Express & Suites Kendall East - Miami,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miall&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIALL&glat=MEDI,(800) 345-8082,"Miami, FL 33176",11520 N Kendall Dr,5.7 miles
41,Puerta Del Sol,,(305) 270-4820,"Miami, FL 33176",9958 N Kendall Dr,6.4 miles
42,TownePlace Suites Miami Kendall West,http://www.marriott.com/towneplace-suites/travel.mi,(305) 383-5511,"Miami, FL 33196",9055 SW 162nd Path,5.9 miles
43,Hilton Miami Dadeland,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIADAHH_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIADAHH%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(786) 975-1920,"Miami, FL 33176",9100 N Kendall Dr,6.9 miles
44,Kendall Hotel and Suites,,(305) 279-7700,"Miami, FL 33176",9100 N Kendall Dr,6.9 miles
45,America's Best Inn,http://www.americasbestinns.com/,(305) 258-3034,"Homestead, FL 33032",26476 S Dixie Hwy,6.1 miles
46,Radisson,http://www.kendallhotelandsuites.com/,(305) 279-7700,"Miami, FL 33176",9100 N Kendall Dr,6.9 miles
47,Country Inns & Suites,http://countryinns.com/,(305) 270-0359,"Miami, FL 33183",11750 Mills Dr,5.9 miles
48,Hampton Inn by Hilton,http://www.hamptoninn.com/,(305) 257-7000,"Homestead, FL 33033",2855 NE 9th St,9.1 miles
49,Aloft Miami Dadeland,http://www.aloftmiamidadeland.com/,(305) 595-6000,"Miami, FL 33156",7600 N Kendall Dr,7.9 miles
50,Silver Palms and Dadeland,,(305) 669-2798,"Miami, FL 33143",7403 SW 82nd St,8.5 miles
51,Marvel Travel Inc,http://www.marvelvacations.com/,(305) 226-0909,"Miami, FL 33165",10971 Sw 40th St,8.9 miles
52,Air Boat USA,http://www.airboatusa.com/,(305) 247-7469,"Homestead, FL 33031",19305 SW 264th St,8.4 miles
53,Shaner Hotel Group,http://www.marriotte.com/,(786) 650-2222,"Homestead, FL 33033",935 NE 30th Ter,9 miles
54,A-1 Budget Motel,http://www.a1budget.com/,(305) 247-7032,"Homestead, FL 33030",1300 N Homestead Blvd,9.3 miles
55,Mdm Hotel Group Inc,http://mdmusa.com/,(305) 671-5110,"Miami, FL 33156",9090 S Dadeland Blvd,8 miles
56,TravelersBest,,(305) 386-5925,"Miami, FL 33175",4635 SW 117th Ave,8.2 miles
57,Cahill Paul,,(305) 412-0228,"Miami, FL 33173",7655 SW 88th Pl,7.7 miles
58,Whitney's-Marriott Dadeland,http://www.marriott.com/MIADD,(305) 670-1035,"Miami, FL 33156",9090 S Dadeland Blvd,8 miles
59,DC Hotels,,(305) 670-2244,"Miami, FL 33156",9075 S Dadeland Blvd,8 miles
61,A-1 Budget Motel,http://www.a1budget.com/,(305) 247-7032,"Homestead, FL 33030",1300 N Homestead Blvd,9.3 miles
62,Mdm Hotel Group Inc,http://mdmusa.com/,(305) 671-5110,"Miami, FL 33156",9090 S Dadeland Blvd,8 miles
63,TravelersBest,,(305) 386-5925,"Miami, FL 33175",4635 SW 117th Ave,8.2 miles
64,Hampton Inn Miami Dadeland,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIADLHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIADLHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 269-0072,"Miami, FL 33143",8200 SW 70th Ave,8.8 miles
65,Cahill Paul,,(305) 412-0228,"Miami, FL 33173",7655 SW 88th Pl,7.7 miles
66,Whitney's-Marriott Dadeland,http://www.marriott.com/MIADD,(305) 670-1035,"Miami, FL 33156",9090 S Dadeland Blvd,8 miles
67,Courtyard by Marriott Miami Dadeland,https://www.marriott.com/hotels/travel/miacy-courtyard-miami-dadeland/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 670-1220,"Miami, FL 33156",9075 S Dadeland Blvd,8 miles
68,DC Hotels,,(305) 670-2244,"Miami, FL 33156",9075 S Dadeland Blvd,8 miles
69,Deluxe Inn Motel,,(305) 248-5622,"Homestead, FL 33033",28475 S Dixie Hwy,7.6 miles
70,Unique Vacations,http://www.sandals.com/,(305) 284-1300,"Miami, FL 33155",4950 SW 72nd Ave,10.1 miles
71,C I G Hospitality,,(305) 667-9767,"Miami, FL 33155",4702 SW 74th Ave,10.1 miles
72,J & J Hospitality Group,,(786) 717-5994,"South Miami, FL 33143",6800 SW 57th Ave,10.3 miles
73,Baymont Inn & Suites,http://www.baymontinns.com/,(305) 790-3477,"Florida City, FL 33034",553 NE 1st Ave,11.3 miles
74,Miami Hotels,,(305) 248-4300,"Homestead, FL 33030",Hmsd,9.7 miles
75,Tradewinds Motel,http://tradewindsmotel.net/,(305) 247-5050,"Homestead, FL 33030",846 N Krome Ave,9.9 miles
76,Budget Host Inn,http://www.budgethost.com/,(305) 248-2741,"Homestead, FL 33030",815 N Krome Ave,10 miles
77,Uptown Suites Extended Stay Miami FL – Homestead,http://res.windsurfercrs.com/ibe/index.aspx?propertyID=15335&promo=trip&nights=7,(866) 879-8943,"Florida City, FL 33034",1071 NW 3rd Ave,11.2 miles
78,"Home2 Suites by Hilton Florida City, FL",https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAFAHT_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAFAHT%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 248-3155,"Homestead, FL 33034",77 NE 3rd St,11.7 miles
79,Coral Roc Motel,,(305) 246-2888,"Homestead, FL 33030",1100 N Krome Ave,9.8 miles
80,And Beyond,,(305) 221-2906,"Miami, FL 33184",909 SW 122nd Ave,10.5 miles
81,Caribe Motel,,(305) 247-2442,"Homestead, FL 33030",841 N Krome Ave,9.9 miles
82,Budget Host,http://budgethost.com/,(305) 248-2741,"Florida City, FL 33034",815 N Krome Ave,11.2 miles
83,Knights Inn,http://www.knightsinn.com/,(305) 247-6633,"Florida City, FL 33034",1223 NE 1st Ave,11 miles
84,Knights Inn Florida City,http://knightsinn.com/,(305) 247-6633,"Homestead, FL 33030",1223 NE 1st Ave,9.6 miles
85,Holiday Inn,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miaum&_PMID=99601036&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIAUM&glat=MEDI,(877) 577-2584,"Coral Gables, FL 33146",1350 S Dixie Hwy,10.9 miles
86,Floridian Hotel,http://www.floridianhotel.com/,(305) 247-7020,"Homestead, FL 33030",990 N Homestead Blvd,9.5 miles
87,The Inn of Homestead,http://www.joneshospitality.com/,(305) 248-2121,"Homestead, FL 33030",1020 N Homestead Blvd,9.5 miles
88,Redland Hotel,http://www.cityhallbistromartinibar.com/,(305) 246-1904,"Homestead, FL 33030",5 S Flagler Ave,10.4 miles
89,Holiday Inn Express & Suites Florida City-Gateway To Keys,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=fcffl&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-FCFFL&glat=MEDI,(800) 345-8082,"Homestead, FL 33034",35200 S Dixie Hwy,12.3 miles
90,Travelodge,http://www.travelodge.com/,(305) 482-1961,"Homestead, FL 33034",409 SE 1st Ave,12.1 miles
91,Estancia Hotel,http://www.estanciasuites.com/,(305) 403-6130,"Miami, FL 33126",7685 NW 12th St,13.3 miles
92,Grove Suites,,(305) 285-1620,"Miami, FL 33133",2699 Tigertail Ave,13.8 miles
93,Hyatt Regency Coral Gables,http://www.place.hyatt.com/,(305) 441-1234,"Coral Gables, FL 33134",50 Alhambra Plz,13.9 miles
94,TRAVELODGE Florida City-Homestead,http://travelodge.com/,(305) 482-1961,"Homestead, FL 33034",409 SE 1st Ave,12.1 miles
95,Holiday Inn Port Of Miami-Downtown,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miabb&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIABB&glat=MEDI,(800) 345-8082,"Miami, FL 33132",340 Biscayne Blvd,18.1 miles
96,Holiday Inn Miami-Doral Area,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miawc&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIAWC&glat=MEDI,(800) 345-8082,"Doral, FL 33172",3255 NW 87th Ave,14.3 miles
97,Holiday Inn Miami-International Airport,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miaia&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIAIA&glat=MEDI,(800) 345-8082,"Miami Springs, FL 33166",1111 S Royal Poinciana Blvd,16.6 miles
98,Holiday Inn Express Miami-Arpt Ctrl-Miami Springs,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miaat&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIAAT&glat=MEDI,(800) 345-8082,"Miami Springs, FL 33166",5125 NW 36th St,16.1 miles
99,Holiday Inn Express & Suites Miami Airport East,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miaex&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIAEX&glat=MEDI,(800) 345-8082,"Miami, FL 33142",2601 NW 42nd Ave,16.1 miles
100,Holiday Inn Express Miami Airport Doral Area,https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miamd&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIAMD&glat=MEDI,(800) 345-8082,"Doral, FL 33166",8436 NW 36th St,14.7 miles
101,Crowne Plaza Miami Airport,https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=miaap&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cp-_-MIAAP&glat=MEDI,(877) 874-6541,"Miami, FL 33126",950 NW 42nd Ave,15 miles
102,Staybridge Suites Miami International Airport,https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=miats&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-sb-_-MIATS&glat=MEDI,(877) 660-8545,"Miami, FL 33142",3651 NW 25th St,16.4 miles
103,EVEN Hotels Miami - Airport,https://www.ihg.com/redirect?path=hd&brandCode=vn&hotelCode=mianw&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-vn-_-MIANW&glat=MEDI,(855) 772-6461,"Miami, FL 33142",3499 NW 25th St,16.5 miles
104,InterContinental Miami,https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=miaha&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ic-_-MIAHA&glat=MEDI,(888) 259-8696,"Miami, FL 33131",100 Chopin Plz,18.1 miles
105,Renaissance At The Gables,http://www.renaissanceatthegables.com/,(305) 445-1313,"Miami, FL 33145",2340 SW 32nd Ave,14 miles
106,InterContinental At Doral Miami,https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=miahc&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ic-_-MIAHC&glat=MEDI,(888) 259-8696,"Doral, FL 33172",2505 NW 87th Ave,13.9 miles
107,Candlewood Suites Miami Airport - Doral,https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=miamf&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cw-_-MIAMF&glat=MEDI,(800) 980-6467,"Doral, FL 33172",8855 NW 27th St,14 miles
108,Staybridge Suites Miami Doral Area,https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=miaaw&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-sb-_-MIAAW&glat=MEDI,(877) 660-8545,"Doral, FL 33172",3265 NW 87th Ave,14.3 miles
109,Candlewood Suites Miami Intl Airport - 36th St,https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=vgccw&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cw-_-VGCCW&glat=MEDI,(800) 980-6467,"Virginia Gardens, FL 33166",5911 NW 36th St,15.5 miles
110,La Fuente Hotel,http://www.executivefantasyhotels.com/,(305) 266-0070,"Miami, FL 33144",7470 SW 8th St,12.1 miles
111,Four Point By Sheraton Coral Gables,http://fourpoints.com/coralgables,(305) 567-0534,"Miami, FL 33146",3861 Bird Rd,12.9 miles
112,Executive Airport Hotel,http://www.executivefantasyhotels.com/,(305) 871-1166,"Miami, FL 33126",6700 NW 12th St,13.6 miles
113,Miami Executive Hotel,http://www.executivefantasyhotels.com/,(305) 443-8464,"Coral Gables, FL 33134",4350 SW 8th St,14 miles
114,Miami Princess Hotel,http://www.miamiprincess.com/,(305) 441-1862,"Miami, FL 33126",4251 NW 11th St,15.1 miles
115,Best Western Gateway to the Keys,https://www.bestwestern.com/en_US/book/hotel-rooms.10254.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:10254,(305) 246-5100,"Florida City, FL 33034",411 S Krome Ave,12.1 miles
116,Biltmore Hotel-A Westin Hotel & Resort,http://www.biltmorehotel.com/,(855) 311-6903,"Coral Gables, FL 33134",1200 Anastasia Ave,12.3 miles
117,"The Ritz-Carlton Key Biscayne, Miami",https://www.ritzcarlton.com/en/hotels/miami/key-biscayne?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 365-4500,"Key Biscayne, FL 33149",455 Grand Bay Dr Key Biscayne,16.7 miles
118,Travelodge,http://www.travelodge.com/,(305) 374-7451,"Miami, FL 33131",131 SE 1st St,17.8 miles
119,Extended Stay America Miami - Coral Gables,https://www.extendedstayamerica.com/hotels/fl/miami/coral-gables,(305) 443-7444,"Miami, FL 33145",3640 Coral Way,13.8 miles
120,Conrad Miami,http://conradmiami.com/,(305) 503-6500,"Miami, FL 33131",1395 Brickell Ave,17.2 miles
121,Vivre En Paix Inc,http://vivreenpaixinc.com/,(877) 573-7743,"Miami, FL 33131",1395 Brickell Ave,17.2 miles
122,Kimpton EPIC Hotel,https://www.epichotel.com/?cm_mmc=YextLocal-_-cp-_-US-_-EPC,(305) 400-6711,"Miami, FL 33131",270 Biscayne Boulevard Way,17.8 miles
123,Miami Tempo Hotel,http://www.tempohotelmiami.com/,(786) 369-0296,"Miami, FL 33132",1100 Biscayne Blvd,18.4 miles
124,"The Gabriel Miami, Curio Collection by Hilton",https://twitter.com/marquisres,(786) 577-9700,"Miami, FL 33132",1100 Biscayne Blvd,18.4 miles
125,Hilton Miami Airport Blue Lagoon,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAAHHH_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAAHHH%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 262-1000,"Miami, FL 33126",5101 Blue Lagoon Dr,14.5 miles
126,JW Marriott Miami,https://www.marriott.com/hotels/travel/miajw-jw-marriott-miami/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 329-3500,"Miami, FL 33131",1109 Brickell Ave,17.3 miles
127,"The Ritz-Carlton Coconut Grove, Miami",https://www.ritzcarlton.com/en/hotels/miami/coconut-grove?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 644-4680,"Miami, FL 33133",3300 SW 27th Ave,13.7 miles
128,Rainbow Motel,,(305) 649-3987,"Miami, FL 33135",2390 SW 8th St,15.4 miles
129,"The Spa at Mandarin Oriental, Miami",https://www.mandarinoriental.com/miami/brickell-key/luxury-spa?htl=MOMIA&kw=MOMIA_spa&eng=yext&src=local,(305) 913-8332,"Miami, FL 33131",500 Brickell Key Dr,17.8 miles
130,Grove Hotel Partners,http://www.groveisle.com/,(305) 858-8300,"Miami, FL 33133",4 Grove Isle Dr,14.9 miles
131,Extended Stay America Miami - Brickell - Port of Miami,https://www.extendedstayamerica.com/hotels/fl/miami/downtown-brickell-cruise-port,(305) 856-3700,"Miami, FL 33129",298 SW 15th Rd,16.9 miles
132,Iberostar Hotels & Resorts,,(305) 774-9225,"Miami, FL 33134",2655 S Le Jeune Rd,13.4 miles
133,JW Marriott Hotel Miami,http://www.marriotthotels.com/,(305) 374-1224,"Miami, FL 33131",1111 Brickell Ave,17.4 miles
134,Orange Grove Motel,http://fl-motels-review.com/,(305) 261-0871,"Miami, FL 33144",7160 SW 8th St,12.3 miles
135,Er Stat Inc,https://baptisthealth.net/en/pages/home.aspx,(305) 740-3302,"Miami, FL 33146",5000 University Dr,11.7 miles
136,Soleste West Gables,http://westgablesapts.com/,(561) 405-7209,"Miami, FL 33155",2101 Ludlam Rd Ste 100,11.9 miles
137,Chaptal,,(305) 264-1176,"Miami, FL 33144",85 Grand Canal Dr,12.6 miles
138,Homewood Suites by Hilton Miami Dolphin Mall,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIADMHW_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIADMHW%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 500-9019,"Miami, FL 33172",1695 NW 111th Ave Suite B,12.7 miles
139,Hilton Garden Inn Miami Dolphin Mall,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIADOGI_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIADOGI%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 500-9077,"Miami, FL 33172",1695 NW 111th Ave,12.7 miles
140,Hotel Connections-Miami/Masscomm,,(786) 260-6123,"Miami, FL 33172",11234 NW 20th St,12.8 miles
141,Dolphin Park,,(305) 418-2009,"Miami, FL 33172",10887 NW 17th St,12.8 miles
142,Gables Hotels Group,,(305) 441-2216,"Miami, FL 33146",3861 Bird Rd,12.9 miles
143,Doubletree by Hilton,http://doubletree3.hilton.com/,(305) 261-3800,"Miami, FL 33126",731 NW 72nd Ave,13.2 miles
144,Cambria Hotel Miami Airport - Blue Lagoon,https://www.choicehotels.com/florida/miami/cambria-hotels/flc06?pmf=yext&mc=llyxyxpx,(305) 261-9899,"Miami, FL 33126",6750 NW 7th St,13.3 miles
145,Aloft Coral Gables,https://www.marriott.com/hotels/travel/miacl-aloft-coral-gables/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 442-0372,"Miami, FL 33134",2524 S Le Jeune Rd,13.3 miles
146,Aloft Hotels,http://www.starwoodhotels.com/alofthotels/index.html,(305) 441-6741,"Miami, FL 33134",2524 S Le Jeune Rd,13.3 miles
147,NF II Miami South Op Co,,(305) 261-2258,"Miami, FL 33126",6700 NW 7th St,13.3 miles
148,Aloft Miami Airport Hotel,http://starwoodhotels.com/alofthotels,(786) 866-0600,"Miami, FL 33133",2977 Mcfarlane Rd Ste 300,13.4 miles
149,"Hotel Arya, BW Premier Collection",https://www.bestwestern.com/en_US/book/hotel-rooms.10417.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:10417,(305) 529-2828,"Miami, FL 33133",2889 Mcfarlane Rd,13.4 miles
150,Ginger Grove,https://www.mayfairhotelandspa.com/,(305) 779-5100,"Miami, FL 33133",3000 Florida Ave,13.4 miles
151,KHR Reservations,http://travelly.com/,(305) 715-9844,"Miami, FL 33126",1150 NW 72nd Ave,13.4 miles
152,Extended Stay America Miami - Airport - Blue Lagoon,https://www.extendedstayamerica.com/hotels/fl/miami/airport-blue-lagoon,(305) 260-0085,"Miami, FL 33126",6605 NW 7th St,13.5 miles
153,The Ritz-Carlton,http://www.ritzcarlton.com/en/Default.htm,(305) 856-9626,"Miami, FL 33133",3400 SW 27th Ave Apt 1705,13.6 miles
154,Extended Stay America,http://www.extendedstayamerica.com/,(786) 331-7717,"Miami, FL 33122",8655 NW 21st Ter,13.7 miles
155,Extended Stay America Miami - Airport - Doral - 87th Avenue South,http://extendedstayamerica.com/hotels/fl/miami/airport-doral-87th-avenue-south,(786) 331-7717,"Miami, FL 33122",8655 NW 21st Ter,13.7 miles
156,Preferred Hotels & Resorts,http://www.preferredhotelgroup.com/,(305) 267-1187,"Miami, FL 33126",1000 NW 57th Ct Ste 270,13.8 miles
157,Marriott Development Caribbean & Latin America,https://hotel-development.marriott.com/,(305) 420-4052,"Miami, FL 33126",1000 NW 57th Ct,13.8 miles
158,Exploring Horizons Ltd. Inc. - EHTravels,http://www.ehtravels.com/,(786) 505-1055,"Miami, FL 33133",3141 SW 27th Ter,13.8 miles
159,Hotel Connections,http://www.hotelconnections.com/,(305) 261-2402,"Miami, FL 33126",6100 Blue Lagoon Dr Ste 310,14 miles
160,Given,,(305) 263-3312,"Miami, FL 33126",701 NW 57th Ave Ste 310,14 miles
161,Extended Stay America - Miami - Airport - Doral - 25th Street,http://www.extendedstayamerica.com/,(305) 716-9005,"Miami, FL 33122",7750 NW 25th St,14.1 miles
162,Extended Stay America Miami - Airport - Doral -  25th Street,http://extendedstayamerica.com/hotels/fl/miami/airport-doral-25th-street,(305) 716-9005,"Miami, FL 33122",7750 NW 25th St,14.1 miles
163,Pullman Miami Airport Hotel,http://www.accorhotels.com/0889,(305) 264-4888,"Miami, FL 33126",5800 Blue Lagoon Dr,14.1 miles
164,Hyatt House Miami Airport,http://www.miamiairport.house.hyatt.com/,(305) 269-1922,"Miami, FL 33126",5710 Blue Lagoon Dr,14.1 miles
165,Le Petit Bijou,,(305) 264-4888,"Miami, FL 33126",5800 Blue Lagoon Dr,14.2 miles
166,Perferred Hotel Group,,(305) 267-1187,"Miami, FL 33126",5200 Blue Lagoon Dr Ste 720,14.3 miles
167,Radisson Hotels & Resorts,http://www.insideview.com/directory/sony-latin-america-inc,(305) 260-3515,"Miami, FL 33126",5301 Blue Lagoon Dr Ste 520,14.5 miles
168,Radisson Hotel-Resorts Latin,http://www.radisson.com/,(305) 260-3515,"Miami, FL 33126",5301 Blue Lagoon Dr,14.5 miles
